Symbol,Price,PE,Yield,RSI,Score,Status
ADVANC,372.0,20.67,467.00%,49.12,2,WAITING FOR PANIC
AOT,66.5,50.76,123.00%,69.65,1,WAITING FOR PANIC
BBL,188.0,8.08,868.00%,43.22,2,WAITING FOR PANIC
BDMS,19.4,20.0,410.00%,48.91,2,WAITING FOR PANIC
CPALL,46.75,13.87,353.00%,43.72,2,WAITING FOR PANIC
CPF,22.5,12.16,400.00%,62.74,2,WAITING FOR PANIC
CPN,66.5,14.88,362.00%,46.23,2,WAITING FOR PANIC
DELTA,270.0,112.03,22.00%,41.54,1,WAITING FOR PANIC
KBANK,247.0,11.66,482.00%,63.57,2,WAITING FOR PANIC
KCE,53.75,68.91,227.00%,74.56,1,WAITING FOR PANIC
KTB,43.5,12.43,822.00%,55.44,2,WAITING FOR PANIC
PTT,40.5,9.33,532.00%,70.36,2,WAITING FOR PANIC
PTTEP,149.0,8.55,622.00%,67.79,2,WAITING FOR PANIC
SCB,151.5,11.73,742.00%,47.37,2,WAITING FOR PANIC
SCC,252.0,22.54,276.00%,48.89,1,WAITING FOR PANIC
TRUE,13.4,24.81,441.00%,47.72,1,WAITING FOR PANIC
